Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns
Meandering,Winding,Straight,Winding,Straight,similar,left
Fleeting,Momentary,Enduring,Momentary,Enduring,opposite,right
Brusque,Curt,Polite,Curt,Polite,similar,right
Meticulous,Precise,Careless,Precise,Careless,opposite,left
Vigilant,Alert,Oblivious,Alert,Oblivious,similar,left
Resilient,Tough,Fragile,Tough,Fragile,opposite,right
Tedious,Dull,Exciting,Dull,Exciting,similar,left
Candid,Honest,Deceitful,Honest,Deceitful,opposite,right
Primordial,Ancient,Modern,Ancient,Modern,opposite,left
Turbulent,Stormy,Calm,Stormy,Calm,similar,right
Novel,New,Old,New,Old,similar,left
Vivid,Bright,Dull,Bright,Dull,opposite,right
Somber,Gloomy,Cheerful,Gloomy,Cheerful,similar,right
Plausible,Likely,Impossible,Likely,Impossible,opposite,left
Hostile,Aggressive,Friendly,Aggressive,Friendly,similar,left
Lucid,Clear,Confusing,Clear,Confusing,opposite,right
Audacious,Bold,Timid,Bold,Timid,opposite,left
Feeble,Weak,Strong,Weak,Strong,similar,right
Barren,Empty,Fertile,Empty,Fertile,opposite,right
Frantic,Hectic,Calm,Hectic,Calm,similar,left
Brisk,Quick,Slow,Quick,Slow,similar,right
Solemn,Serious,Playful,Serious,Playful,opposite,left
Arduous,Difficult,Easy,Difficult,Easy,similar,left
Serene,Peaceful,Chaotic,Peaceful,Chaotic,opposite,right
Imminent,Upcoming,Distant,Upcoming,Distant,similar,right
Tangible,Concrete,Abstract,Concrete,Abstract,opposite,left
Transient,Temporary,Lasting,Temporary,Lasting,opposite,right
Robust,Strong,Weak,Strong,Weak,similar,left
Dreary,Dull,Lively,Dull,Lively,similar,right
Crisp,Sharp,Blunt,Sharp,Blunt,opposite,left
Bleak,Hopeless,Hopeful,Hopeless,Hopeful,opposite,right
Coarse,Rough,Smooth,Rough,Smooth,similar,left
Nimble,Agile,Clumsy,Agile,Clumsy,opposite,right
Diligent,Hardworking,Lazy,Hardworking,Lazy,similar,right
Affluent,Wealthy,Poor,Wealthy,Poor,similar,left
Meek,Gentle,Assertive,Gentle,Assertive,opposite,left
Hollow,Empty,Full,Empty,Full,similar,right
Rigid,Stiff,Flexible,Stiff,Flexible,opposite,right
Grim,Severe,Gentle,Severe,Gentle,similar,left
Dainty,Delicate,Sturdy,Delicate,Sturdy,opposite,left
Stern,Strict,Lenient,Strict,Lenient,similar,right
Bleak,Gloomy,Bright,Gloomy,Bright,opposite,right
Brilliant,Smart,Dull,Smart,Dull,similar,left
Tedious,Boring,Interesting,Boring,Interesting,similar,right
Profound,Deep,Shallow,Deep,Shallow,opposite,left
Lousy,Bad,Good,Bad,Good,similar,left
Mellow,Soft,Harsh,Soft,Harsh,opposite,right
Sturdy,Strong,Fragile,Strong,Fragile,similar,right
Hasty,Quick,Careful,Quick,Careful,opposite,left
Fragile,Delicate,Strong,Delicate,Strong,meaning,left
